date,numeric0,numeric1,categorical0,time,target
1995-01-22,8385,6,a,01:00:08,0
2003-02-26,20,1,a,05:33:24,1
1997-07-08,9184,1,c,06:16:47,0
1985-06-15,443,,c,17:06:26,0
2011-05-16,3468,,c,14:10:59,0
2003-11-20,1720,,b,20:44:21,0
1987-06-27,3194,,b,02:33:31,0
2008-10-02,4166,,a,03:11:48,0
2001-02-04,4335,,a,10:25:08,0
1982-08-14,7689,,a,17:10:47,0
1983-10-30,9148,,a,05:56:38,1
2014-04-07,5653,,c,11:28:44,0
1977-03-21,1005,,c,15:31:35,0
1973-09-03,4461,,c,11:32:45,0
2010-09-18,4374,8,c,20:51:32,0
1993-06-25,9433,6,c,19:39:49,0
1998-12-02,6246,3,b,00:51:11,0
1991-06-20,9500,1,a,14:57:37,0
2005-02-20,593,2,a,08:33:23,1
1991-01-14,5217,,a,22:21:49,1
1971-02-15,2869,,a,11:06:59,0
1972-11-07,6696,,b,09:18:40,0
1991-03-16,9340,6,a,00:09:08,1
2019-06-28,7360,,b,19:40:00,0
1982-05-24,8884,,c,02:21:35,0
1971-11-09,6261,,c,09:39:20,0
1992-07-05,4374,1,b,01:28:55,0
2001-08-03,4171,,a,01:29:16,0
1977-12-07,458,,c,06:54:20,0
2019-04-13,1235,,b,13:42:21,0
1975-03-11,3564,,c,06:47:16,0
2015-07-05,9804,2,c,12:24:25,0
1974-02-08,8666,,a,10:23:48,0
2012-11-15,8883,,a,23:26:27,0
1983-09-20,665,,c,07:59:05,0
1997-06-28,7878,,c,16:36:40,0
2005-06-29,4640,,c,01:50:33,0
2011-08-15,5446,6,c,04:31:55,0
1989-04-24,2491,3,a,07:10:14,1
2002-03-09,8559,1,c,05:50:20,0
2017-01-15,2816,9,a,08:51:26,0
1974-05-23,7134,,a,13:35:13,0
2007-09-21,1212,,a,20:28:33,0
1971-02-16,2065,8,a,16:01:11,0
2012-02-21,3971,,b,10:05:34,0
1992-01-29,3807,7,a,04:44:09,1
1990-05-31,1353,,b,19:40:45,0
1995-07-26,1926,,a,01:21:24,0
1980-06-22,1544,7,c,05:55:32,0
2003-10-13,2834,,b,06:11:23,0
2003-06-13,8914,,b,07:10:52,0
2007-01-20,307,5,c,18:05:32,1
1985-04-23,4729,,b,19:15:59,0
1983-03-13,5486,,b,06:05:16,0
1986-11-25,7994,9,b,04:16:30,0
2010-09-13,6665,1,b,00:57:50,0
2019-02-18,6422,6,a,00:11:18,0
1991-07-13,3724,0,a,20:23:31,0
1975-10-21,6229,0,b,20:27:30,0
2000-07-10,8413,,a,12:12:52,0
1979-12-02,4620,2,c,04:40:11,0
1983-06-12,3462,6,c,05:26:39,0
1974-05-30,2017,4,a,12:25:05,0
2004-08-16,8222,7,c,01:23:04,0
1976-06-18,7531,,b,12:33:29,0
2014-05-21,7190,6,b,02:01:26,0
2016-01-10,6342,7,c,00:40:51,0
1983-02-12,9981,0,c,16:20:20,0
1980-01-08,8074,2,a,09:47:42,0
2014-12-20,3931,9,c,19:53:32,0
1971-07-22,5797,5,c,18:26:37,0
2000-06-10,375,,c,13:14:49,0
1995-10-27,5880,,c,13:23:27,0
2017-05-23,8608,2,b,21:31:49,0
1972-12-08,938,1,c,15:41:44,0
2009-11-27,7486,,a,13:41:31,1
1975-11-08,3272,,c,22:16:48,0
1972-08-05,4129,,c,08:10:58,0
1977-04-19,1140,,c,17:56:44,0
1986-01-12,535,7,a,22:39:33,1
1977-04-01,4058,6,a,14:23:30,0
1977-09-15,584,,a,20:39:45,1
1977-11-29,8575,4,c,15:46:34,0
1985-12-10,9796,3,c,17:53:45,0
1980-04-07,9123,,a,08:00:41,0
2012-07-04,7892,2,c,01:14:49,0
2002-08-01,6805,2,b,17:10:22,0
2019-08-18,7147,6,a,02:55:38,0
2001-10-31,4222,,b,19:12:14,0
1998-08-12,4463,8,a,22:10:56,1
1973-05-26,2309,3,c,13:12:18,0
2017-12-21,4094,0,a,08:02:08,1
2012-06-02,6745,,b,17:15:21,0
2003-12-27,9861,7,b,02:55:26,0
1992-04-13,2659,,b,03:44:12,0
1983-08-31,4230,,b,08:33:13,0
1999-08-28,1424,,a,09:06:31,1
1974-01-27,5398,2,b,02:17:17,0
1988-08-21,7396,7,b,00:05:18,0
1986-06-10,9800,7,b,19:16:52,0
2017-04-17,2760,,b,17:05:47,0
2005-10-27,9512,1,c,05:13:19,0
1985-02-23,8198,,c,18:38:19,0
2018-10-06,8860,5,b,11:29:46,0
2010-08-04,4252,,b,11:26:37,0
1973-12-04,9564,,b,04:51:40,0
1982-09-30,3450,,b,15:58:43,0
1990-02-24,3921,4,a,23:12:32,0
1992-10-09,4338,,b,07:05:29,0
1985-07-15,189,,c,01:25:43,0
1981-08-05,9459,4,a,03:34:34,1
1981-07-22,6441,,a,13:43:32,1
1997-03-01,5277,0,b,02:38:45,0
1990-06-27,3074,,a,05:02:31,0
1994-10-01,4932,,a,18:38:59,0
2013-02-27,4520,,a,00:46:00,0
2001-02-23,9182,0,b,03:26:31,0
1979-01-13,2199,,b,05:40:41,0
2008-05-25,2478,,b,20:33:47,0
1996-10-05,7980,0,c,10:00:58,0
1981-09-21,8193,7,c,02:45:08,0
2017-06-04,4511,,a,19:20:42,0
2009-10-03,7834,,b,05:28:59,0
1985-03-08,2045,,c,03:09:22,0
1977-02-04,1619,,a,21:57:26,1
2011-07-09,2239,,b,03:42:57,0
1987-03-05,9481,2,b,20:38:44,0
1982-06-30,1038,,a,01:58:51,0
1974-12-03,4424,6,c,13:34:27,0
2001-06-29,4230,,b,04:05:32,0
1977-09-15,4210,8,b,02:23:11,0
2001-04-15,4284,9,b,05:13:57,0
1994-02-06,9291,6,b,11:57:06,0
2012-05-09,1740,8,a,01:22:15,1
1987-04-20,9562,,c,23:48:24,0
2006-04-25,5306,6,b,13:30:29,0
2006-09-25,3674,1,a,08:21:33,0
1991-07-10,6176,,c,19:47:27,0
2011-10-17,5388,,a,07:14:08,0
2018-10-06,4187,,a,13:02:43,0
1995-04-12,547,6,b,20:45:23,0
2000-10-05,4233,,b,14:04:40,0
1977-07-26,9436,8,a,00:20:55,0
1996-09-02,9952,,b,18:29:44,0
2016-10-27,6524,,a,09:21:38,0
1991-11-28,3710,,b,00:30:17,0
2014-11-22,2921,8,c,11:16:15,0
1998-01-09,7054,,a,18:07:02,0
1989-10-25,4422,5,c,00:55:59,0
1975-10-07,1915,,b,19:35:23,0
1980-09-17,4302,,a,10:08:53,1
2008-01-26,1987,6,a,23:23:07,0
2001-06-18,7455,,c,15:23:53,0
1971-10-27,9213,8,a,00:02:55,0
1989-05-22,3579,,a,02:35:33,0
1994-09-06,8206,,a,10:55:23,0
2003-07-18,244,,c,14:09:10,0
2001-02-04,6486,6,c,04:16:53,0
2000-02-27,3329,,b,20:01:50,0
2018-09-28,6989,1,b,21:15:36,0
2014-06-12,6020,8,a,07:20:47,0
1993-02-25,6141,5,c,20:30:28,0
2013-04-08,4376,7,c,05:36:02,0
1981-08-30,849,0,a,20:10:48,1
2012-01-25,9508,,c,05:55:02,0
2000-04-15,164,7,c,01:41:56,0
1970-01-26,8384,,c,07:08:23,0
2012-04-18,7868,,c,04:15:49,0
2007-09-05,595,1,a,12:13:39,1
1978-07-05,8162,6,c,08:05:56,0
1994-05-09,1483,6,c,04:30:24,0
2018-03-15,850,,a,19:32:14,1
1973-03-17,9938,8,c,18:24:05,0
1993-02-18,5454,3,c,21:53:36,0
1987-04-18,8599,9,a,15:31:32,1
1997-06-05,9611,,b,01:32:19,0
1984-02-18,2077,,a,11:51:48,0
1983-10-27,6851,,a,01:50:11,0
1984-09-23,5390,,a,02:10:17,0
2004-06-25,3257,7,a,01:12:41,1
1997-12-07,5369,,c,19:44:04,0
2005-01-15,5038,,a,04:25:02,0
2006-04-07,8337,,a,18:27:13,0
2002-01-07,9531,,a,00:14:56,1
2002-10-08,1403,5,b,05:20:45,0
2004-12-25,7747,2,c,13:29:59,0
1989-08-05,2489,6,b,05:50:51,0
1973-09-30,1782,,b,03:43:25,0
1970-05-25,1283,2,b,10:48:57,0
2005-10-16,8383,,b,05:15:43,0
2017-01-08,1727,,b,04:45:01,0
1971-08-26,4237,2,b,04:33:59,1
1981-10-07,1763,4,a,21:31:35,1
2003-07-15,3436,,b,21:29:41,0
1976-08-23,7103,,b,04:19:06,0
1996-02-05,1708,1,b,04:40:30,0
2010-07-09,1,9,c,02:36:14,0
2000-01-27,404,4,a,12:24:31,1
2002-08-27,1808,,b,22:35:51,0
2000-02-27,9870,,a,22:26:17,0
2001-01-25,4594,,a,05:57:13,0
2000-10-31,9756,,a,02:19:46,0
2007-11-07,5241,1,b,06:33:01,0
1999-12-21,1686,5,b,23:30:49,0
1986-04-16,5987,0,b,00:32:50,0
1991-09-08,3968,7,a,15:57:37,0
2014-07-07,91,,c,12:09:41,1
2003-02-03,3700,0,a,07:37:36,1
2005-11-12,4144,,a,03:58:40,0
2019-07-27,5485,9,b,09:48:13,0
1975-10-23,1671,1,b,09:37:50,0
2018-02-14,8047,,b,10:22:32,0
2015-02-13,2864,,b,03:50:30,0
1980-01-15,9217,,c,14:59:28,0
1978-02-21,583,7,a,13:40:39,1
2010-03-06,7696,,c,08:05:35,0
2019-08-05,9798,,b,09:18:33,0
1985-09-10,7866,,b,12:18:02,0
1996-12-28,3318,0,a,22:02:30,0
2010-06-25,2534,2,a,08:44:35,0
2018-04-11,5320,9,c,06:14:57,0
1995-07-20,6293,,b,03:54:22,0
2016-10-10,733,,a,11:15:23,1
1996-08-08,2310,,c,11:57:32,0
1971-10-25,2122,8,a,08:33:34,1
1982-08-01,3144,,b,19:31:22,0
2009-11-21,3562,9,b,00:02:14,0
1971-06-16,4322,1,b,05:23:19,0
2017-10-06,9306,0,b,02:12:07,0
2004-02-15,4746,1,c,19:51:14,0
2017-06-15,91,,a,23:21:52,1
1988-11-16,6242,8,b,21:51:54,0
1984-02-19,2858,2,a,09:22:51,0
1970-12-16,3976,,b,13:01:18,0
1994-11-05,1782,,a,04:20:39,1
1985-01-06,7018,3,a,04:53:01,0
1980-05-21,6491,,c,23:34:44,0
1978-03-25,5264,0,c,02:28:15,0
2018-11-17,6289,,a,09:42:39,0
2007-03-11,2814,2,b,02:42:10,0
2015-02-08,3891,7,b,03:18:48,0
1986-04-22,7555,0,b,15:50:04,0
1996-06-26,8728,,a,04:41:34,0
1990-03-08,3120,,a,17:48:21,1
1975-06-04,8697,9,c,07:18:02,0
1975-09-14,3274,6,a,12:02:52,0
2001-06-22,2408,,a,15:56:36,0
2008-08-11,5837,5,a,19:50:33,0
2017-02-07,2960,,b,00:28:45,0
2008-01-16,4467,,b,06:52:27,0
2017-11-22,53,,b,08:23:01,0
1989-12-09,9665,2,a,03:54:36,1
1986-07-03,9919,,c,12:33:31,0
2015-03-17,46,,a,19:13:17,1
1987-09-01,6884,0,b,03:00:06,0
1974-10-10,3644,0,b,02:01:13,0
1970-04-25,401,3,b,01:41:25,1
1993-06-22,3932,,c,09:25:08,0
2004-06-02,9464,3,c,06:08:46,0
1998-07-18,3271,,a,13:04:51,1
1971-07-17,8928,,c,11:54:38,0
2006-05-08,1384,,b,21:06:29,0
2018-08-11,5770,4,c,04:40:40,0
1976-09-11,569,,a,20:04:57,1
1998-06-11,6143,9,a,20:18:36,0
2013-12-30,4123,8,c,09:42:14,0
2018-05-22,6465,,a,06:48:11,0
1973-06-16,9730,,b,18:34:41,0
2018-12-27,5953,2,b,08:22:18,0
2005-01-22,9362,8,c,15:58:32,0
1988-10-19,4262,3,c,13:20:16,0
1982-08-27,9625,,b,21:34:04,0
1976-01-09,4111,,a,14:06:09,1
2005-11-12,9345,5,a,04:05:00,0
1996-01-19,6574,4,a,16:09:32,0
1995-08-14,1571,3,a,04:39:30,0
2016-08-28,1847,2,c,23:02:33,0
1994-06-13,4207,0,a,13:02:38,0
1996-04-22,784,,a,13:24:39,1
1986-06-26,8905,,c,08:33:04,0
2008-05-04,8729,1,b,02:22:14,0
2012-09-17,2287,1,c,14:39:46,0
1986-06-24,7818,5,c,18:36:06,0
1970-04-15,6290,,a,00:16:10,0
2018-10-01,4521,,b,01:30:58,0
2017-09-11,8638,,a,04:29:51,1
1991-10-29,3265,7,a,05:51:49,0
2005-12-11,3468,9,a,02:58:34,0
1987-05-22,7826,,c,01:58:55,0
1991-03-13,4285,0,a,07:50:59,0
1996-05-26,7020,4,a,22:22:45,1
1988-10-25,4090,8,c,01:32:05,0
1984-03-29,1750,8,c,13:24:04,0
1997-11-27,1853,4,b,17:42:29,0
2005-07-25,4070,8,a,09:57:02,1
2002-09-20,7488,,a,19:55:40,1
1993-11-28,7479,1,c,23:59:25,0
1991-05-28,6517,,c,21:45:01,0
2010-06-20,378,5,c,07:57:51,0
2019-03-27,6288,,a,12:12:10,0
2009-11-14,9310,9,c,22:42:33,0
1994-12-17,8207,7,b,17:19:21,0
1999-03-07,2849,5,c,18:42:20,0
2018-01-10,3883,,a,03:04:44,0
2019-07-03,807,9,b,07:36:58,0
2000-05-07,6529,,a,22:41:30,0
2018-06-02,7753,,a,02:04:56,0
2001-05-06,5025,7,c,02:10:33,0
1979-05-12,2957,6,b,11:52:21,0
1995-10-18,1350,1,a,21:46:32,1
2004-04-18,7226,,b,22:44:45,0
1974-01-30,7137,,a,06:36:30,0
2018-04-16,1579,,c,14:04:13,0
1993-10-10,5370,1,a,21:08:25,0
1999-10-09,6777,,a,07:07:09,0
1990-11-20,2357,8,a,11:59:28,0
2012-05-25,6056,,b,20:38:27,0
1999-12-28,3161,6,b,13:30:26,0
1983-12-05,3990,2,a,00:09:28,0
1997-04-24,5071,,a,16:46:51,1
1990-09-09,8094,2,c,01:49:30,0
2017-06-20,9971,,b,01:12:18,0
1999-08-23,9227,,b,18:23:11,0
1994-05-09,8142,7,b,19:27:39,0
2007-05-12,9893,,a,01:09:38,0
1987-07-09,1773,8,b,06:14:10,0
2012-02-03,3161,,b,01:03:31,0
1991-08-03,1544,9,b,18:21:11,0
1991-09-22,4764,,b,13:53:18,0
1987-07-19,8069,4,c,17:47:18,0
2012-12-12,3474,6,b,02:24:17,0
1997-04-04,4430,,b,02:18:39,0
2018-03-10,1399,,a,06:04:12,0
2004-06-13,8755,,a,16:30:09,1
1990-06-20,1854,6,a,12:31:54,0
1981-10-29,1036,6,b,03:04:01,0
1992-01-20,548,,a,14:45:05,1
2013-07-12,586,1,b,09:56:50,0
1990-08-27,1808,0,b,05:57:44,0
1982-10-25,1340,2,a,08:27:29,1
1973-04-16,3400,3,c,16:03:37,0
2017-07-05,8430,,b,07:06:18,0
1999-06-28,9603,,a,11:55:35,0
1982-10-08,4916,1,b,16:26:44,0
1996-08-18,2340,3,c,09:28:31,0
2006-12-03,7844,,a,01:06:23,1
1990-06-11,3927,4,a,05:57:34,0
2015-11-26,4939,7,b,12:47:13,0
1986-01-24,2317,,c,20:20:38,0
2016-08-17,9468,7,c,10:50:53,0
2005-09-23,9646,,c,01:22:58,0
1976-11-20,7630,2,a,00:58:43,0
1983-10-02,6276,,a,13:55:39,0
2013-01-23,5968,9,b,01:32:25,0
2012-06-08,1464,,a,06:23:39,0
1997-03-01,4242,,b,14:40:02,0
1970-06-21,1424,,c,00:00:41,0
2014-03-08,1989,5,b,23:24:46,0
1992-11-18,238,4,b,08:17:02,0
1995-04-30,1752,9,c,18:46:16,0
1979-09-08,1568,,c,02:24:58,0
1986-11-04,205,6,b,08:52:14,0
1973-07-05,2744,,c,20:29:43,0
1982-10-13,3447,,c,15:33:50,0
1998-06-28,3592,4,a,03:03:59,1
1992-03-02,7172,,c,07:22:04,0
1972-11-25,7312,,b,23:02:20,0
1984-08-17,7213,,a,00:56:10,0
2013-01-29,3935,,a,12:10:41,0
2002-08-16,5814,,c,20:30:15,0
1989-05-16,715,6,c,04:26:14,1
1977-06-05,3033,5,b,20:56:06,0
1972-03-18,581,,b,00:21:11,0
1982-05-06,7301,9,a,22:25:58,1
1992-07-27,9958,,a,15:28:25,0
2019-04-26,5695,,b,16:20:34,0
2009-03-25,6573,,a,00:47:46,1
2014-02-17,1836,1,b,23:28:52,0
2019-07-26,3581,,c,04:46:09,0
2017-11-03,8784,,b,16:32:23,0
2018-03-17,3674,0,b,21:56:11,0
1994-06-16,210,,c,04:49:08,0
1994-02-17,2211,0,b,18:25:05,0
1983-09-22,4122,,b,12:31:51,0
2005-10-06,5483,2,b,17:36:42,0
1970-10-19,3982,9,a,07:08:59,1
2003-10-05,7012,,b,21:35:26,0
2001-02-27,5618,9,a,09:03:51,1
1998-04-18,7814,7,b,01:49:09,0
1978-04-05,9822,,a,00:46:25,1
1976-06-28,2075,,b,23:32:34,0
1972-03-23,8717,,a,00:04:09,0
1994-07-31,834,,c,00:56:15,0
2010-09-21,1337,,b,23:00:42,0
1990-05-11,8269,,a,19:13:22,1
2001-10-17,1967,,b,01:34:17,0
1974-04-15,138,2,b,08:03:54,1
1981-06-27,6138,1,c,07:34:59,0
2007-08-19,671,4,b,06:13:35,0
2001-06-07,5031,4,a,06:40:07,0
1991-08-25,563,4,b,01:53:05,1
1999-10-13,3199,,a,06:10:41,0
2005-09-16,8108,,a,03:24:39,0
1996-09-22,7046,,c,01:14:14,0
1985-07-06,4169,,a,16:21:10,0
1976-08-29,3409,,b,05:37:25,0
2009-04-11,6146,,a,13:49:04,0
2012-12-12,9610,,b,20:07:32,0
1987-09-30,9822,8,a,06:01:10,0
1993-11-14,3680,,a,09:57:32,0
1976-10-30,635,,b,14:47:33,1
2018-03-21,3433,7,c,09:34:08,0
1978-06-11,9881,5,b,17:00:33,0
2008-12-13,612,,a,14:13:58,1
1991-07-19,6495,,c,13:38:00,0
1989-03-05,6792,2,b,19:30:20,0
1976-10-17,4564,,a,13:40:37,1
1993-05-13,9908,1,c,14:24:51,0
1971-12-11,2650,,a,07:05:14,1
2010-02-25,8046,,a,09:22:03,0
1973-01-03,7511,8,a,00:45:08,0
1990-07-28,9163,,a,03:16:48,1
2008-03-16,1832,6,c,04:19:37,0
1972-11-18,812,,c,17:47:04,0
1974-04-05,796,7,c,00:32:14,0
1998-07-16,9346,0,a,13:20:06,0
1987-02-04,6737,4,b,13:15:38,0
2008-02-11,4026,,a,08:06:56,0
1998-05-29,477,7,c,20:39:04,1
1972-10-18,3495,1,b,21:22:21,0
1990-06-05,1240,,c,14:37:59,0
2018-04-28,3832,,a,14:06:59,0
1972-11-30,8009,9,a,17:41:55,0
2012-09-13,5403,,a,20:37:08,0
1970-11-21,9336,2,c,11:11:34,0
1982-01-19,5571,,a,12:19:34,0
2000-07-07,9366,,b,03:16:29,0
1971-06-05,6424,0,a,14:55:25,1
2002-04-24,8654,2,b,00:02:39,0
1971-10-16,3137,,b,05:21:48,0
2004-02-12,887,,b,00:16:35,0
2011-05-25,9139,,b,12:53:41,0
1990-09-01,9721,6,a,23:59:51,1
2008-12-13,7362,9,b,18:37:55,0
2016-05-14,7932,,a,23:26:54,0
2006-12-14,7590,,c,00:00:51,0
1996-03-30,2474,9,b,00:39:35,0
1996-11-22,6499,9,b,10:34:07,0
1978-05-07,8144,,a,18:17:13,0
2006-04-11,2088,6,a,04:37:50,1
1983-01-29,7527,3,a,12:42:38,0
1974-12-15,1197,4,c,22:59:02,0
1988-05-15,1536,,c,03:04:32,0
1979-09-18,4503,6,c,11:09:06,0
1991-10-15,2281,,a,01:34:13,1
1978-10-29,5717,9,c,09:40:24,0
2008-07-07,8949,6,b,22:51:50,0
1984-06-04,3610,,a,14:06:52,0
2014-01-10,4252,,c,12:23:09,0
1976-05-22,670,7,c,06:18:22,0
1971-10-24,5892,,b,12:41:36,0
2000-08-04,186,,c,10:57:01,1
2010-06-02,8390,,b,23:27:31,0
1995-12-01,8798,,c,17:26:34,0
1974-03-16,1980,,c,04:45:47,0
2013-06-15,9609,2,b,09:10:50,0
2002-07-29,1690,,b,05:27:04,0
1995-11-01,8159,9,c,05:18:55,0
1999-07-15,8630,2,c,21:27:47,0
2016-08-29,3435,5,c,06:57:06,0
1983-07-04,9715,7,a,04:20:30,0
1992-10-26,1027,,a,19:56:18,0
1983-07-23,7679,3,c,16:37:21,1
2016-02-17,3366,4,b,23:00:01,0
1990-09-22,9652,,a,19:48:20,0
1996-10-13,1509,0,a,22:23:24,1
1980-07-16,2627,7,b,15:07:11,0
2018-01-05,2723,,c,04:27:45,0
1987-11-25,5840,,c,08:06:01,0
1995-07-31,8106,,c,15:52:27,0
2012-02-17,500,8,a,23:59:03,0
1982-06-19,2372,5,c,20:10:07,0
2005-12-21,5115,,b,19:52:12,0
2010-05-16,3104,9,a,10:49:01,1
2001-10-01,567,3,c,06:18:40,1
2000-09-20,2178,,a,11:28:41,1
2007-02-07,1016,7,c,10:19:54,0
2001-09-28,7705,5,a,03:08:26,0
2002-12-16,1570,4,a,04:29:05,0
2002-05-20,6761,,a,05:10:43,0
1998-06-01,3608,,c,08:03:16,0
1986-08-27,8645,9,b,23:10:40,0
2004-08-18,2149,,a,04:35:23,0
2013-11-02,238,,b,03:17:20,0
1984-03-16,4746,,c,16:10:23,0
1999-06-19,3836,4,b,18:59:12,0
1998-06-14,3736,,a,07:18:43,0
1994-08-18,8226,6,c,22:15:38,0
1986-08-25,1884,,c,07:40:22,0
1999-07-24,2431,,c,17:06:53,0
1983-07-01,5652,0,b,00:38:08,0
2000-03-26,223,2,c,19:32:48,0
1983-01-29,4180,,a,19:45:24,0
1995-01-18,6098,9,c,00:36:47,0
2000-02-16,1827,5,c,03:35:50,0
1993-09-08,588,,a,21:27:49,1
2009-08-22,1557,,a,01:21:20,0
1990-02-14,4181,,c,09:23:47,0
1980-11-23,8674,7,a,01:40:21,0
1980-10-04,1910,,a,16:40:28,0
2008-04-16,5917,,a,22:48:07,1
2019-01-23,8484,,b,09:16:35,0
1982-08-13,2568,1,a,07:18:09,0
2011-12-24,4473,7,c,21:58:13,0
1979-03-02,408,,a,21:20:26,1
2012-02-06,5043,,b,01:23:44,0
1973-11-14,7056,,b,00:24:12,0
1988-12-25,1515,6,c,06:32:58,0
2005-07-13,853,0,c,17:45:02,1
1994-02-01,6245,,c,21:01:39,0
1971-05-15,8210,,c,22:59:19,0
1978-05-16,3074,2,b,03:23:21,0
2014-04-09,2291,6,b,18:50:46,0
1982-06-23,5879,,a,09:31:48,1
1989-08-22,9983,5,b,07:11:50,0
1999-02-04,4315,9,b,09:20:20,0
1989-09-21,752,,c,04:34:23,1
1995-06-06,7169,2,b,18:27:55,0
1996-01-31,310,0,b,00:41:34,1
1991-04-26,6786,,a,00:02:48,0
1994-09-01,4896,3,c,07:04:34,0
1993-08-06,7124,,c,22:23:09,0
2002-03-09,9097,0,c,16:50:12,0
1994-03-14,7793,,a,02:27:48,0
2017-03-13,2116,2,a,06:39:07,1
1976-11-03,5707,9,b,16:04:40,0
1996-03-31,991,,a,18:45:29,1
2009-08-03,484,,a,02:58:26,1
1992-01-07,3721,8,c,22:28:38,0
1992-02-22,4355,1,b,15:14:09,0
1988-10-09,4746,,c,15:12:09,0
2011-09-22,2313,,a,07:27:08,0
1991-07-20,9844,6,b,09:19:40,0
1991-05-18,9249,7,c,16:00:09,0
1989-08-04,6003,2,a,06:57:16,0
1972-07-07,3155,3,b,23:15:37,0
2003-08-07,6471,6,c,10:42:03,0
2007-10-08,5881,2,c,11:27:11,0
1996-10-20,1496,4,c,18:54:41,0
1982-11-20,2711,,b,20:50:00,0
1974-05-28,250,5,c,07:34:24,0
1975-08-25,7946,8,c,12:08:24,0
1989-08-07,48,,c,03:39:09,1
1971-03-26,9722,8,b,11:48:30,0
1988-07-25,3061,,c,22:16:50,0
1978-05-16,1388,5,c,17:08:02,0
1996-10-24,4028,,b,06:09:33,0
2016-11-25,1796,1,c,08:08:45,0
1978-12-27,7275,,b,12:49:12,0
1988-06-29,4395,,c,08:14:57,0
1998-06-30,4823,,a,14:00:26,0
2012-05-30,7146,1,c,05:29:50,1
